n,runtime
2,0.000008
3,0.000002
4,0.000003
5,0.000004
6,0.000006
7,0.000011
8,0.000018
9,0.000036
10,0.000063
11,0.000132
12,0.000240
13,0.000520
14,0.000955
15,0.002029
16,0.003909
17,0.008004
18,0.014967
19,0.032040
20,0.060413
21,0.128301
22,0.228765
23,0.518824
24,0.907103
25,2.051191
26,3.653332
27,8.168354
28,14.250141
29,32.723672
